MES,CODIGOCLIENTE,DISTRITO,EDAD,DEPARTAMENTO,FLG_CELULAR,FLG_EMAIL,FLG_PROCEDENCIA,FLG_TELEFONO,RNG_EDAD,RNG_INGRESO_BRUTO,PROVINCIA,PROFESION,SEXO,SITUACION_LABORAL
201704,IBK_CODUNICO00025866057,MIRAFLORES,37,LIMA,1,0,LIMA Y CALLAO,0,28 - 45,1200 - 3999,LIMA,,M,INDEPENDIENTE
201706,IBK_CODUNICO00017378777,SAN MARTIN DE PORRES,28,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201712,IBK_CODUNICO00026282171,SANTIAGO DE SURCO,47,LIMA,1,1,LIMA Y CALLAO,0,46 - 65,De 15000 a más,LIMA,,M,DEPENDIENTE
201712,IBK_CODUNICO00028688525,LA MOLINA,46,LIMA,0,0,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,F,DEPENDIENTE
201702,IBK_CODUNICO00029349815,PUEBLO LIBRE,44,LIMA,1,1,LIMA Y CALLAO,0,28 - 45,De 15000 a más,LIMA,ACTOR,M,DEPENDIENTE
201701,IBK_CODUNICO00028347697,PATAPO,47,LAMBAYEQUE,1,0,PROVINCIA,0,46 - 65,1200 - 3999,CHICLAYO,,F,INDEPENDIENTE
201711,IBK_CODUNICO00029423655,PUNO,35,PUNO,1,1,PROVINCIA,1,28 - 45,1200 - 3999,PUNO,PROFESOR,M,DEPENDIENTE
201702,IBK_CODUNICO00028358219,HUMAY,60,ICA,1,0,PROVINCIA,0,46 - 65,1200 - 3999,PISCO,,M,INDEPENDIENTE
201712,IBK_CODUNICO00026590146,SAN BORJA,45,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,ACTOR,F,INDEPENDIENTE
201702,IBK_CODUNICO00026704356,SAN JUAN DE MIRAFLORES,31,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,De 15000 a más,LIMA,,M,DEPENDIENTE
201706,IBK_CODUNICO00025731027,BREÑA,38,LIMA,1,1,LIMA Y CALLAO,0,28 - 45,4000 - 9999,LIMA,ABOGADO,M,INDEPENDIENTE
201710,IBK_CODUNICO00027324552,BREÑA,32,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201703,IBK_CODUNICO00029236640,CHIMBOTE,32,ANCASH,1,1,PROVINCIA,0,28 - 45,De 15000 a más,SANTA,,M,INDEPENDIENTE
201706,IBK_CODUNICO00022527926,ATE,44,LIMA,1,1,LIMA Y CALLAO,0,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201704,IBK_CODUNICO00028728230,LA MOLINA,51,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,F,DEPENDIENTE
201705,IBK_CODUNICO00025518350,CHILCA,29,LIMA,1,1,LIMA Y CALLAO,0,28 - 45,4000 - 9999,CAÑETE,,M,DEPENDIENTE
201709,IBK_CODUNICO00016179375,CHORRILLOS,51,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,M,INDEPENDIENTE
201706,IBK_CODUNICO00028677023,ALTO SELVA ALEGRE,35,AREQUIPA,1,0,PROVINCIA,1,28 - 45,4000 - 9999,AREQUIPA,,F,DEPENDIENTE
201708,IBK_CODUNICO00025140917,MAGDALENA DEL MAR,44,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,INDEPENDIENTE
201702,IBK_CODUNICO00026856176,MIRAFLORES,32,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,ODONTOLOGO,F,INDEPENDIENTE
201712,IBK_CODUNICO00024917467,LA MOLINA,33,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,INDEPENDIENTE
201708,IBK_CODUNICO00025097596,ATE,45,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201711,IBK_CODUNICO00024759236,MIRAFLORES,42,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,De 15000 a más,LIMA,,F,DEPENDIENTE
201702,IBK_CODUNICO00025489692,LA VICTORIA,28,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,INDEPENDIENTE
201711,IBK_CODUNICO00025093379,VILLA EL SALVADOR,26,LIMA,0,1,LIMA Y CALLAO,1,18 - 27,4000 - 9999,LIMA,,F,DEPENDIENTE
201709,IBK_CODUNICO00024691650,OLMOS,59,LAMBAYEQUE,1,0,PROVINCIA,0,46 - 65,1200 - 3999,LAMBAYEQUE,,M,DEPENDIENTE
201705,IBK_CODUNICO00028641764,SANTIAGO DE SURCO,37,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,INDEPENDIENTE
201712,IBK_CODUNICO00027545417,JULIACA,30,PUNO,1,1,PROVINCIA,0,28 - 45,1200 - 3999,SAN ROMAN,,M,INDEPENDIENTE
201702,IBK_CODUNICO00029104552,JULIACA,43,PUNO,1,1,PROVINCIA,1,28 - 45,10000 - 14999,SAN ROMAN,,M,DEPENDIENTE
201711,IBK_CODUNICO00028651332,LA MOLINA,64,LIMA,1,0,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,M,DEPENDIENTE
201712,IBK_CODUNICO0007930230,HUANCHACO,35,LA LIBERTAD,1,1,PROVINCIA,1,28 - 45,1200 - 3999,TRUJILLO,,F,INDEPENDIENTE
201708,IBK_CODUNICO00029180317,PIURA,55,PIURA,1,1,PROVINCIA,1,46 - 65,1200 - 3999,PIURA,ELECTRICISTA (TECNICO),M,DEPENDIENTE
201706,IBK_CODUNICO00022274494,LAMBAYEQUE,43,LAMBAYEQUE,1,0,PROVINCIA,0,28 - 45,1200 - 3999,LAMBAYEQUE,,F,DEPENDIENTE
201711,IBK_CODUNICO00026930425,TUPAC AMARU INCA,27,ICA,1,0,PROVINCIA,0,18 - 27,850 - 1199,PISCO,,F,DEPENDIENTE
201708,IBK_CODUNICO00029088486,LA VICTORIA,25,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,1200 - 3999,LIMA,,F,DEPENDIENTE
201711,IBK_CODUNICO00022813994,JESUS MARIA,28,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201702,IBK_CODUNICO00029178797,SAN JUAN DE MIRAFLORES,37,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201708,IBK_CODUNICO00026195200,AYACUCHO,39,AYACUCHO,1,1,PROVINCIA,1,28 - 45,1200 - 3999,HUAMANGA,PROFESOR,F,DEPENDIENTE
201705,IBK_CODUNICO00026979874,CALLAO,40,CALLAO,1,0,LIMA Y CALLAO,1,28 - 45,4000 - 9999,PROV. CONST. DEL CALLAO,ABOGADO,M,DEPENDIENTE
201707,IBK_CODUNICO00028029304,SANTA ANITA,32,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201702,IBK_CODUNICO00025790228,SANTA ANITA,23,LIMA,1,1,LIMA Y CALLAO,0,18 - 27,1200 - 3999,LIMA,,F,INDEPENDIENTE
201708,IBK_CODUNICO00029377157,CHICLAYO,27,LAMBAYEQUE,1,1,PROVINCIA,1,18 - 27,1200 - 3999,CHICLAYO,,M,INDEPENDIENTE
201703,IBK_CODUNICO00022592547,CHULUCANAS,28,PIURA,1,0,PROVINCIA,0,28 - 45,850 - 1199,MORROPON,,F,DEPENDIENTE
201709,IBK_CODUNICO00029342687,LOS OLIVOS,39,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,INDEPENDIENTE
201708,IBK_CODUNICO00028326885,COMAS,38,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,INDEPENDIENTE
201709,IBK_CODUNICO00027139414,PUEBLO LIBRE,37,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,DEPENDIENTE
201701,IBK_CODUNICO00029388902,CHORRILLOS,48,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,M,INDEPENDIENTE
201709,IBK_CODUNICO00028712661,SURQUILLO,58,LIMA,0,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,F,DEPENDIENTE
201708,IBK_CODUNICO00020829045,COMAS,37,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201711,IBK_CODUNICO00020488994,LA ESPERANZA,30,LA LIBERTAD,1,1,PROVINCIA,1,28 - 45,4000 - 9999,TRUJILLO,,F,INDEPENDIENTE
201703,IBK_CODUNICO00029272921,SAN JUAN DE LURIGANCHO,35,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,10000 - 14999,LIMA,,M,DEPENDIENTE
201712,IBK_CODUNICO00025800779,SAN BORJA,42,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201706,IBK_CODUNICO00028826380,ICA,45,ICA,1,1,PROVINCIA,1,28 - 45,1200 - 3999,ICA,,M,DEPENDIENTE
201705,IBK_CODUNICO00020727142,LURIGANCHO,50,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,De 15000 a más,LIMA,,F,DEPENDIENTE
201706,IBK_CODUNICO00024344373,SANTIAGO,34,ICA,1,0,PROVINCIA,1,28 - 45,850 - 1199,ICA,,F,DEPENDIENTE
201701,IBK_CODUNICO00019063630,MIRAFLORES,55,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,F,INDEPENDIENTE
201708,IBK_CODUNICO00028542148,SAN MARTIN DE PORRES,56,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,INGENIERO,F,INDEPENDIENTE
201704,IBK_CODUNICO00021101476,SAN MARTIN DE PORRES,38,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201708,IBK_CODUNICO00029138934,HUANUCO,51,HUÁNUCO,1,1,PROVINCIA,1,46 - 65,1200 - 3999,HUANUCO,,F,INDEPENDIENTE
201712,IBK_CODUNICO00028173204,EL TAMBO,36,JUNÍN,1,1,PROVINCIA,1,28 - 45,4000 - 9999,HUANCAYO,ELECTRICISTA (TECNICO),M,DEPENDIENTE
201707,IBK_CODUNICO00028824472,MARCONA,56,ICA,1,0,PROVINCIA,1,46 - 65,1200 - 3999,NAZCA,,M,DEPENDIENTE
201702,IBK_CODUNICO0002675325,TRUJILLO,23,LA LIBERTAD,1,0,PROVINCIA,0,18 - 27,Hasta 849,TRUJILLO,,M,DEPENDIENTE
201704,IBK_CODUNICO00027421558,ALTO SELVA ALEGRE,37,AREQUIPA,1,1,PROVINCIA,0,28 - 45,1200 - 3999,AREQUIPA,,,INDEPENDIENTE
201702,IBK_CODUNICO00012350861,INDEPENDENCIA,36,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201703,IBK_CODUNICO00027020043,CUSCO,23,CUSCO,1,1,PROVINCIA,0,18 - 27,1200 - 3999,CUSCO,,F,DEPENDIENTE
201705,IBK_CODUNICO00026793395,SACHACA,61,AREQUIPA,1,1,PROVINCIA,1,46 - 65,1200 - 3999,AREQUIPA,,F,INDEPENDIENTE
201702,IBK_CODUNICO00026696605,MIRAFLORES,28,LIMA,0,0,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,F,DEPENDIENTE
201710,IBK_CODUNICO00028735076,SANTIAGO DE SURCO,54,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,F,INDEPENDIENTE
201703,IBK_CODUNICO00026723427,CALLAO,40,CALLAO,1,0,LIMA Y CALLAO,1,28 - 45,De 15000 a más,PROV. CONST. DEL CALLAO,,F,INDEPENDIENTE
201705,IBK_CODUNICO00028580343,PACHACAMAC,42,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201706,IBK_CODUNICO00026485938,LA OROYA,47,JUNÍN,1,1,PROVINCIA,1,46 - 65,4000 - 9999,YAULI,,M,DEPENDIENTE
201709,IBK_CODUNICO00020479176,LA MOLINA,32,LIMA,0,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201706,IBK_CODUNICO00027176162,VENTANILLA,29,CALLAO,1,1,LIMA Y CALLAO,0,28 - 45,1200 - 3999,PROV. CONST. DEL CALLAO,,F,DEPENDIENTE
201707,IBK_CODUNICO00028043056,EL AGUSTINO,35,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,CONTADOR,M,INDEPENDIENTE
201704,IBK_CODUNICO00022335478,SAN BORJA,26,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,4000 - 9999,LIMA,,M,DEPENDIENTE
201712,IBK_CODUNICO00029416662,LOS OLIVOS,40,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,INGENIERO,M,INDEPENDIENTE
201706,IBK_CODUNICO00027733472,VILLA MARIA DEL TRIUNFO,26,LIMA,1,0,LIMA Y CALLAO,1,18 - 27,1200 - 3999,LIMA,,F,INDEPENDIENTE
201704,IBK_CODUNICO00026223150,SAN MARTIN DE PORRES,48,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,INGENIERO,M,DEPENDIENTE
201712,IBK_CODUNICO00025506175,COMAS,42,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,10000 - 14999,LIMA,ABOGADO,M,DEPENDIENTE
201708,IBK_CODUNICO00028867362,SANTIAGO DE SURCO,30,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201704,IBK_CODUNICO00027846420,EL PORVENIR,32,LA LIBERTAD,1,1,PROVINCIA,0,28 - 45,1200 - 3999,TRUJILLO,,M,DEPENDIENTE
201711,IBK_CODUNICO00019760141,SANTIAGO DE SURCO,24,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,4000 - 9999,LIMA,,M,DEPENDIENTE
201706,IBK_CODUNICO00027946653,VENTANILLA,46,CALLAO,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,PROV. CONST. DEL CALLAO,,F,INDEPENDIENTE
201702,IBK_CODUNICO00027984562,ICA,37,ICA,1,1,PROVINCIA,1,28 - 45,1200 - 3999,ICA,ABOGADO,F,DEPENDIENTE
201707,IBK_CODUNICO00029397300,PUEBLO LIBRE,34,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,INDEPENDIENTE
201712,IBK_CODUNICO00028100682,CALLAO,32,CALLAO,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,PROV. CONST. DEL CALLAO,,M,DEPENDIENTE
201710,IBK_CODUNICO00029268445,LIMA,27,LIMA,1,1,LIMA Y CALLAO,0,18 - 27,1200 - 3999,LIMA,,M,DEPENDIENTE
201705,IBK_CODUNICO00027464459,PARACAS,26,ICA,1,1,PROVINCIA,1,18 - 27,1200 - 3999,PISCO,,F,DEPENDIENTE
201702,IBK_CODUNICO00024347789,SAN MARTIN DE PORRES,54,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,CONTADOR,M,DEPENDIENTE
201702,IBK_CODUNICO00029267920,SAN MIGUEL,34,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201703,IBK_CODUNICO00023083148,TARAPOTO,34,SAN MARTÍN,1,1,PROVINCIA,1,28 - 45,4000 - 9999,SAN MARTIN,ADMINISTRADOR DE EMPRESAS,F,DEPENDIENTE
201702,IBK_CODUNICO00028932017,SAN JUAN DE LURIGANCHO,35,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,F,DEPENDIENTE
201706,IBK_CODUNICO00013488067,TRUJILLO,42,LA LIBERTAD,1,0,PROVINCIA,0,28 - 45,1200 - 3999,TRUJILLO,,F,INDEPENDIENTE
201704,IBK_CODUNICO00027366309,YANAHUARA,50,AREQUIPA,1,0,PROVINCIA,1,46 - 65,4000 - 9999,AREQUIPA,,M,INDEPENDIENTE
201711,IBK_CODUNICO00028854911,SANTIAGO DE SURCO,25,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,1200 - 3999,LIMA,,M,INDEPENDIENTE
201709,IBK_CODUNICO00029167614,SAN MIGUEL,46,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,PSICOLOGO,F,INDEPENDIENTE
201706,IBK_CODUNICO00028442087,MIRAFLORES,44,AREQUIPA,1,1,PROVINCIA,1,28 - 45,4000 - 9999,AREQUIPA,,M,DEPENDIENTE
201712,IBK_CODUNICO00019313563,TRUJILLO,38,LA LIBERTAD,1,1,PROVINCIA,1,28 - 45,10000 - 14999,TRUJILLO,INGENIERO,M,DEPENDIENTE
201705,IBK_CODUNICO00025854843,BREÑA,25,LIMA,1,1,LIMA Y CALLAO,1,18 - 27,4000 - 9999,LIMA,,F,INDEPENDIENTE
201705,IBK_CODUNICO00027484458,CUSCO,38,CUSCO,1,1,PROVINCIA,1,28 - 45,4000 - 9999,CUSCO,,M,INDEPENDIENTE
201708,IBK_CODUNICO00025186982,YANACANCHA,43,PASCO,1,1,PROVINCIA,1,28 - 45,10000 - 14999,PASCO,ENFERMERO,M,INDEPENDIENTE
201706,IBK_CODUNICO00025876214,TRUJILLO,39,LA LIBERTAD,1,0,PROVINCIA,1,28 - 45,4000 - 9999,TRUJILLO,INGENIERO,M,DEPENDIENTE
201705,IBK_CODUNICO00027607633,SAN MARTIN DE PORRES,41,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,ADMINISTRADOR DE EMPRESAS,M,DEPENDIENTE
201704,IBK_CODUNICO00027948723,CUSCO,71,CUSCO,1,0,PROVINCIA,1,66 - 72,1200 - 3999,CUSCO,PROFESOR,F,INDEPENDIENTE
201707,IBK_CODUNICO00026863911,LA VICTORIA,48,LAMBAYEQUE,1,0,PROVINCIA,0,46 - 65,1200 - 3999,CHICLAYO,,F,INDEPENDIENTE
201708,IBK_CODUNICO00028681466,LA MOLINA,42,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,F,INDEPENDIENTE
201711,IBK_CODUNICO00028185747,LAMBAYEQUE,39,LAMBAYEQUE,1,1,PROVINCIA,0,28 - 45,1200 - 3999,LAMBAYEQUE,ARQUITECTO,F,DEPENDIENTE
201712,IBK_CODUNICO00027451953,LA VICTORIA,62,LIMA,1,0,LIMA Y CALLAO,0,46 - 65,1200 - 3999,LIMA,,M,INDEPENDIENTE
201709,IBK_CODUNICO00024491296,ANCON,34,LIMA,1,0,LIMA Y CALLAO,0,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201711,IBK_CODUNICO00029225481,SAN JUAN DE LURIGANCHO,28,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201711,IBK_CODUNICO00028815146,LIMA,56,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,M,DEPENDIENTE
201710,IBK_CODUNICO00028183496,SURQUILLO,52,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,INGENIERO,M,INDEPENDIENTE
201701,IBK_CODUNICO00020825112,SANTIAGO DE SURCO,33,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,INDEPENDIENTE
201708,IBK_CODUNICO00020718417,SAN JUAN DE MIRAFLORES,28,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,INDEPENDIENTE
201707,IBK_CODUNICO00025688735,SANTIAGO DE SURCO,44,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,INDEPENDIENTE
201704,IBK_CODUNICO00029355617,SULLANA,30,PIURA,1,1,PROVINCIA,1,28 - 45,4000 - 9999,SULLANA,INGENIERO,M,INDEPENDIENTE
201707,IBK_CODUNICO00028764867,SAN JUAN DE MIRAFLORES,32,LIMA,1,0,LIMA Y CALLAO,0,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201707,IBK_CODUNICO00027740610,SANTIAGO DE SURCO,36,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201710,IBK_CODUNICO00029378765,ATE,22,LIMA,1,0,LIMA Y CALLAO,1,18 - 27,1200 - 3999,LIMA,,F,INDEPENDIENTE
201703,IBK_CODUNICO00021083158,BARRANCO,38,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201703,IBK_CODUNICO00021951198,ATE,51,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,F,INDEPENDIENTE
201711,IBK_CODUNICO00027492168,CATACAOS,26,PIURA,1,0,PROVINCIA,0,18 - 27,1200 - 3999,PIURA,,F,DEPENDIENTE
201701,IBK_CODUNICO00026049579,CATACAOS,29,PIURA,1,0,PROVINCIA,1,28 - 45,1200 - 3999,PIURA,,F,DEPENDIENTE
201710,IBK_CODUNICO00028214565,CHICLAYO,39,LAMBAYEQUE,1,1,PROVINCIA,1,28 - 45,1200 - 3999,CHICLAYO,,F,INDEPENDIENTE
201711,IBK_CODUNICO00026820011,CALLAO,42,CALLAO,1,1,LIMA Y CALLAO,1,28 - 45,10000 - 14999,PROV. CONST. DEL CALLAO,INGENIERO,M,DEPENDIENTE
201712,IBK_CODUNICO00023151503,SAN MARTIN DE PORRES,56,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,ODONTOLOGO,M,INDEPENDIENTE
201711,IBK_CODUNICO00026857541,SOCABAYA,32,AREQUIPA,1,1,PROVINCIA,1,28 - 45,4000 - 9999,AREQUIPA,,M,DEPENDIENTE
201709,IBK_CODUNICO0006525437,AGUAS VERDES,35,TUMBES,1,0,PROVINCIA,1,28 - 45,4000 - 9999,ZARUMILLA,,M,DEPENDIENTE
201709,IBK_CODUNICO00027673628,CHINCHA ALTA,44,ICA,1,1,PROVINCIA,1,28 - 45,De 15000 a más,CHINCHA,,M,DEPENDIENTE
201706,IBK_CODUNICO00028626964,SAN JUAN DE LURIGANCHO,51,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,10000 - 14999,LIMA,INGENIERO,M,DEPENDIENTE
201707,IBK_CODUNICO00028746456,SAN MARTIN DE PORRES,32,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,INDEPENDIENTE
201710,IBK_CODUNICO00022685768,PARACAS,29,ICA,0,0,PROVINCIA,0,28 - 45,1200 - 3999,PISCO,,F,DEPENDIENTE
201707,IBK_CODUNICO00027922345,TRUJILLO,38,LA LIBERTAD,1,1,PROVINCIA,1,28 - 45,4000 - 9999,TRUJILLO,INGENIERO,M,DEPENDIENTE
201701,IBK_CODUNICO00028810244,SANTIAGO DE SURCO,52,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,10000 - 14999,LIMA,OBSTETRIZ,F,INDEPENDIENTE
201703,IBK_CODUNICO00018098344,SAN JUAN DE MIRAFLORES,37,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,INDEPENDIENTE
201706,IBK_CODUNICO0009236900,PIURA,23,PIURA,1,1,PROVINCIA,1,18 - 27,1200 - 3999,PIURA,,F,INDEPENDIENTE
201704,IBK_CODUNICO00028491174,TRUJILLO,42,LA LIBERTAD,1,0,PROVINCIA,0,28 - 45,1200 - 3999,TRUJILLO,,F,DEPENDIENTE
201704,IBK_CODUNICO00028535847,SAN MARTIN DE PORRES,54,LIMA,1,0,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,F,INDEPENDIENTE
201703,IBK_CODUNICO00028117587,SAN MARTIN DE PORRES,31,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,DEPENDIENTE
201710,IBK_CODUNICO00028543219,VILLA MARIA DEL TRIUNFO,36,LIMA,1,0,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
201701,IBK_CODUNICO00017166297,LIMA,57,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,4000 - 9999,LIMA,,F,DEPENDIENTE
201702,IBK_CODUNICO00027286632,NUEVO CHIMBOTE,25,ANCASH,1,1,PROVINCIA,1,18 - 27,1200 - 3999,SANTA,,F,DEPENDIENTE
201702,IBK_CODUNICO00028892224,AYACUCHO,56,AYACUCHO,1,1,PROVINCIA,1,46 - 65,4000 - 9999,HUAMANGA,,M,DEPENDIENTE
201710,IBK_CODUNICO00025468875,HUANCAYO,43,JUNÍN,1,1,PROVINCIA,1,28 - 45,1200 - 3999,HUANCAYO,,M,INDEPENDIENTE
201708,IBK_CODUNICO00027920748,LINCE,32,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,4000 - 9999,LIMA,,M,DEPENDIENTE
201708,IBK_CODUNICO00027780716,SANTIAGO DE SURCO,42,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,INGENIERO,M,INDEPENDIENTE
201709,IBK_CODUNICO00027843499,PISCO,34,ICA,1,1,PROVINCIA,1,28 - 45,1200 - 3999,PISCO,,F,INDEPENDIENTE
201710,IBK_CODUNICO00025295917,IMPERIAL,27,LIMA,1,0,LIMA Y CALLAO,1,18 - 27,1200 - 3999,CAÑETE,,F,DEPENDIENTE
201701,IBK_CODUNICO00027371302,LA MOLINA,33,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,De 15000 a más,LIMA,ABOGADO,M,INDEPENDIENTE
201711,IBK_CODUNICO00024662209,SAN JUAN DE LURIGANCHO,22,LIMA,1,1,LIMA Y CALLAO,0,18 - 27,1200 - 3999,LIMA,,F,INDEPENDIENTE
201710,IBK_CODUNICO00023544053,SAN MARTIN DE PORRES,21,LIMA,1,0,LIMA Y CALLAO,0,18 - 27,1200 - 3999,LIMA,,F,INDEPENDIENTE
201704,IBK_CODUNICO00021995702,CAYMA,31,AREQUIPA,1,1,PROVINCIA,0,28 - 45,1200 - 3999,AREQUIPA,,F,INDEPENDIENTE
201702,IBK_CODUNICO00026805686,LOS OLIVOS,28,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,DEPENDIENTE
201704,IBK_CODUNICO00028242402,PUEBLO LIBRE,38,LIMA,1,1,LIMA Y CALLAO,0,28 - 45,1200 - 3999,LIMA,VETERINARIO,M,DEPENDIENTE
201704,IBK_CODUNICO00028630411,SAN JUAN DE LURIGANCHO,28,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,Hasta 849,LIMA,,F,DEPENDIENTE
201703,IBK_CODUNICO00023074597,LA VICTORIA,43,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,DEPENDIENTE
201710,IBK_CODUNICO00024928588,LA PERLA,37,CALLAO,1,1,LIMA Y CALLAO,0,28 - 45,10000 - 14999,PROV. CONST. DEL CALLAO,,M,INDEPENDIENTE
201703,IBK_CODUNICO00028181555,LURIN,35,LIMA,1,0,LIMA Y CALLAO,0,28 - 45,1200 - 3999,LIMA,,M,DEPENDIENTE
