MES,CODIGOCLIENTE,BANCARIZADO,SEGMENTO_CANAL,SEGMENTO_CAPTACIONES,TIPO_VINCULACION
201703,IBK_CODUNICO00028768714,S,Light user,01.NUEVOS,02.ACTIVOS
201712,IBK_CODUNICO00028422404,S,Light user,06.TRANSACCIONAL DEP,03.PASIVOS
201709,IBK_CODUNICO00028085744,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201707,IBK_CODUNICO00025129414,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201710,IBK_CODUNICO00024882439,S,Light user,03.CONSUMIDOR,02.ACTIVOS
201708,IBK_CODUNICO00024696156,S,Digital,07.ANSIOSO,03.PASIVOS
201706,IBK_CODUNICO00029020635,S,Digital,01.NUEVOS,02.ACTIVOS
201705,IBK_CODUNICO00021513149,S,Digital,02.INACTIVOS,02.ACTIVOS
201703,IBK_CODUNICO00024594888,S,Digital,03.CONSUMIDOR,03.PASIVOS
201708,IBK_CODUNICO00027503302,S,Digital,08.RETIRO,02.ACTIVOS
201709,IBK_CODUNICO00025740071,S,Sin transacciones,07.ANSIOSO,02.ACTIVOS
201705,IBK_CODUNICO00029224187,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201705,IBK_CODUNICO00019453923,S,Agente,01.NUEVOS,03.PASIVOS
201702,IBK_CODUNICO00029354227,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201707,IBK_CODUNICO00029194049,N,Digital,03.CONSUMIDOR,03.PASIVOS
201707,IBK_CODUNICO00021286333,S,Digital,07.ANSIOSO,02.ACTIVOS
201712,IBK_CODUNICO00028683123,N,Light user,01.NUEVOS,03.PASIVOS
201708,IBK_CODUNICO00028495986,S,Digital,Sin segmento,02.ACTIVOS
201711,IBK_CODUNICO00024222162,S,Digital,01.NUEVOS,02.ACTIVOS
201708,IBK_CODUNICO00026654364,S,Tradicional,05.TRANSACCIONAL IND,02.ACTIVOS
201701,IBK_CODUNICO00026986885,N,Tradicional,01.NUEVOS,03.PASIVOS
201709,IBK_CODUNICO00027529800,S,Agente,05.TRANSACCIONAL IND,02.ACTIVOS
201711,IBK_CODUNICO00027524830,S,Tradicional,08.RETIRO,02.ACTIVOS
201710,IBK_CODUNICO00026626097,S,Light user,03.CONSUMIDOR,03.PASIVOS
201708,IBK_CODUNICO00028368195,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201709,IBK_CODUNICO00026748187,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201706,IBK_CODUNICO00021729355,S,Digital,Sin segmento,02.ACTIVOS
201702,IBK_CODUNICO00028857470,S,Digital,04.AHORRADOR,03.PASIVOS
201707,IBK_CODUNICO00023600968,S,Digital,07.ANSIOSO,02.ACTIVOS
201704,IBK_CODUNICO00027290979,S,Light user,Sin segmento,03.PASIVOS
201710,IBK_CODUNICO00025877155,S,Sin segmento,Sin segmento,02.ACTIVOS
201702,IBK_CODUNICO00025871103,S,Light user,08.RETIRO,02.ACTIVOS
201702,IBK_CODUNICO00016550246,S,Agente,05.TRANSACCIONAL IND,03.PASIVOS
201708,IBK_CODUNICO00023171921,S,Digital,07.ANSIOSO,02.ACTIVOS
201710,IBK_CODUNICO00026634035,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201708,IBK_CODUNICO00026171051,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201701,IBK_CODUNICO00017624906,N,Sin transacciones,07.ANSIOSO,03.PASIVOS
201706,IBK_CODUNICO00025116032,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201708,IBK_CODUNICO00028418201,S,Agente,05.TRANSACCIONAL IND,03.PASIVOS
201712,IBK_CODUNICO00027766956,S,Tradicional,07.ANSIOSO,03.PASIVOS
201710,IBK_CODUNICO00028420306,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201704,IBK_CODUNICO00021048440,N,Agente,08.RETIRO,03.PASIVOS
201701,IBK_CODUNICO00028277887,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201707,IBK_CODUNICO00025433093,S,Light user,Sin segmento,02.ACTIVOS
201708,IBK_CODUNICO00027594406,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201711,IBK_CODUNICO00021837901,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201711,IBK_CODUNICO00018148268,S,Agente,05.TRANSACCIONAL IND,03.PASIVOS
201702,IBK_CODUNICO00029269156,S,Agente,08.RETIRO,03.PASIVOS
201712,IBK_CODUNICO00021577367,S,Tradicional,03.CONSUMIDOR,03.PASIVOS
201704,IBK_CODUNICO00025153517,S,Agente,08.RETIRO,03.PASIVOS
201702,IBK_CODUNICO00027774594,S,Digital,03.CONSUMIDOR,03.PASIVOS
201711,IBK_CODUNICO00027103837,N,Agente,08.RETIRO,03.PASIVOS
201704,IBK_CODUNICO00027645953,N,Digital,07.ANSIOSO,03.PASIVOS
201708,IBK_CODUNICO00027649781,S,Light user,07.ANSIOSO,03.PASIVOS
201711,IBK_CODUNICO00025485103,S,Light user,01.NUEVOS,03.PASIVOS
201701,IBK_CODUNICO00028316457,S,Agente,01.NUEVOS,03.PASIVOS
201710,IBK_CODUNICO00028958366,S,ATM,03.CONSUMIDOR,03.PASIVOS
201702,IBK_CODUNICO00019868115,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201711,IBK_CODUNICO00025347743,S,Digital,Sin segmento,02.ACTIVOS
201706,IBK_CODUNICO00027413399,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201710,IBK_CODUNICO00016989976,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201705,IBK_CODUNICO00029216073,S,Digital,07.ANSIOSO,03.PASIVOS
201707,IBK_CODUNICO00026805993,S,Digital,01.NUEVOS,03.PASIVOS
201710,IBK_CODUNICO00022117469,S,Digital,05.TRANSACCIONAL IND,02.ACTIVOS
201712,IBK_CODUNICO00026648362,S,Digital,01.NUEVOS,02.ACTIVOS
201712,IBK_CODUNICO00029257892,S,Digital,01.NUEVOS,02.ACTIVOS
201710,IBK_CODUNICO00024455841,S,ATM,08.RETIRO,03.PASIVOS
201706,IBK_CODUNICO00026484017,S,Digital,03.CONSUMIDOR,03.PASIVOS
201712,IBK_CODUNICO00022479352,S,ATM,03.CONSUMIDOR,03.PASIVOS
201711,IBK_CODUNICO00024556208,S,Light user,01.NUEVOS,03.PASIVOS
201707,IBK_CODUNICO00024059672,S,Digital,01.NUEVOS,03.PASIVOS
201706,IBK_CODUNICO00027137872,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201703,IBK_CODUNICO00028929181,S,Light user,01.NUEVOS,02.ACTIVOS
201706,IBK_CODUNICO00028902989,S,ATM,03.CONSUMIDOR,03.PASIVOS
201702,IBK_CODUNICO00027807629,S,Tradicional,08.RETIRO,03.PASIVOS
201705,IBK_CODUNICO00026978927,S,Agente,06.TRANSACCIONAL DEP,02.ACTIVOS
201712,IBK_CODUNICO00019047259,S,Digital,07.ANSIOSO,02.ACTIVOS
201707,IBK_CODUNICO00023575667,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201701,IBK_CODUNICO00028064331,S,Digital,01.NUEVOS,02.ACTIVOS
201712,IBK_CODUNICO00021206707,S,Agente,Sin segmento,04.ACTIVOS Y PASIVOS
201706,IBK_CODUNICO00019468267,S,Sin segmento,Sin segmento,03.PASIVOS
201710,IBK_CODUNICO00028333266,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201702,IBK_CODUNICO00023997704,S,ATM,03.CONSUMIDOR,02.ACTIVOS
201706,IBK_CODUNICO00029260809,S,Digital,02.INACTIVOS,02.ACTIVOS
201712,IBK_CODUNICO00026797984,S,Digital,03.CONSUMIDOR,03.PASIVOS
201710,IBK_CODUNICO00029270350,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201704,IBK_CODUNICO00029203713,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201704,IBK_CODUNICO00026222371,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201708,IBK_CODUNICO00014209477,S,Digital,Sin segmento,02.ACTIVOS
201704,IBK_CODUNICO00017855493,S,Tradicional,03.CONSUMIDOR,03.PASIVOS
201711,IBK_CODUNICO00028516322,S,Tradicional,04.AHORRADOR,02.ACTIVOS
201707,IBK_CODUNICO00025135695,S,Digital,05.TRANSACCIONAL IND,02.ACTIVOS
201708,IBK_CODUNICO00027841196,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201707,IBK_CODUNICO00027157570,N,Light user,07.ANSIOSO,03.PASIVOS
201709,IBK_CODUNICO00021515519,S,Digital,01.NUEVOS,02.ACTIVOS
201701,IBK_CODUNICO00029069549,S,ATM,03.CONSUMIDOR,02.ACTIVOS
201709,IBK_CODUNICO00027633816,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201707,IBK_CODUNICO00028566257,S,Light user,03.CONSUMIDOR,02.ACTIVOS
201702,IBK_CODUNICO00018225942,S,Sin segmento,Sin segmento,03.PASIVOS
201707,IBK_CODUNICO00024745101,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201708,IBK_CODUNICO00028377494,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201708,IBK_CODUNICO00027695253,S,Digital,07.ANSIOSO,02.ACTIVOS
201702,IBK_CODUNICO00029395752,S,Digital,07.ANSIOSO,02.ACTIVOS
201711,IBK_CODUNICO00027869283,S,Agente,03.CONSUMIDOR,02.ACTIVOS
201711,IBK_CODUNICO00019481704,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201707,IBK_CODUNICO00028257784,S,Tradicional,Sin segmento,02.ACTIVOS
201708,IBK_CODUNICO00023205124,S,ATM,04.AHORRADOR,02.ACTIVOS
201707,IBK_CODUNICO00026511054,S,Light user,07.ANSIOSO,02.ACTIVOS
201712,IBK_CODUNICO00029278136,S,Digital,Sin segmento,02.ACTIVOS
201706,IBK_CODUNICO00021552763,S,Tradicional,01.NUEVOS,02.ACTIVOS
201707,IBK_CODUNICO00029297278,S,ATM,08.RETIRO,03.PASIVOS
201708,IBK_CODUNICO00028883835,S,Digital,07.ANSIOSO,03.PASIVOS
201706,IBK_CODUNICO00027601045,S,Agente,07.ANSIOSO,02.ACTIVOS
201712,IBK_CODUNICO00026874770,N,Light user,06.TRANSACCIONAL DEP,03.PASIVOS
201701,IBK_CODUNICO00021121234,S,Digital,Sin segmento,02.ACTIVOS
201702,IBK_CODUNICO00027046087,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201704,IBK_CODUNICO00025849465,S,Digital,Sin segmento,02.ACTIVOS
201704,IBK_CODUNICO00027210601,S,Light user,02.INACTIVOS,03.PASIVOS
201706,IBK_CODUNICO0006384160,S,Light user,Sin segmento,02.ACTIVOS
201710,IBK_CODUNICO00028974182,S,Digital,03.CONSUMIDOR,03.PASIVOS
201710,IBK_CODUNICO00017990137,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201712,IBK_CODUNICO00025470288,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201705,IBK_CODUNICO00026589243,S,Tradicional,05.TRANSACCIONAL IND,02.ACTIVOS
201706,IBK_CODUNICO00024168073,S,Digital,07.ANSIOSO,04.ACTIVOS Y PASIVOS
201705,IBK_CODUNICO00018526657,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201702,IBK_CODUNICO00024747630,S,Sin segmento,Sin segmento,02.ACTIVOS
201710,IBK_CODUNICO00026838626,S,Digital,02.INACTIVOS,02.ACTIVOS
201711,IBK_CODUNICO00025111389,S,Digital,05.TRANSACCIONAL IND,02.ACTIVOS
201709,IBK_CODUNICO00026499799,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201705,IBK_CODUNICO00028236249,S,Digital,07.ANSIOSO,03.PASIVOS
201712,IBK_CODUNICO00027939986,S,ATM,03.CONSUMIDOR,03.PASIVOS
201710,IBK_CODUNICO00028482027,S,Agente,06.TRANSACCIONAL DEP,02.ACTIVOS
201701,IBK_CODUNICO00024928776,S,Digital,01.NUEVOS,03.PASIVOS
201705,IBK_CODUNICO00028075490,S,Tradicional,07.ANSIOSO,03.PASIVOS
201711,IBK_CODUNICO00027681035,S,Sin segmento,Sin segmento,02.ACTIVOS
201710,IBK_CODUNICO00028963672,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201703,IBK_CODUNICO00019389569,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201701,IBK_CODUNICO00028839075,S,Tradicional,06.TRANSACCIONAL DEP,03.PASIVOS
201711,IBK_CODUNICO00028427341,S,ATM,06.TRANSACCIONAL DEP,02.ACTIVOS
201711,IBK_CODUNICO00029400529,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201702,IBK_CODUNICO00028114125,S,Digital,07.ANSIOSO,03.PASIVOS
201710,IBK_CODUNICO00029007970,S,Tradicional,05.TRANSACCIONAL IND,02.ACTIVOS
201707,IBK_CODUNICO00027778150,S,Digital,02.INACTIVOS,02.ACTIVOS
201708,IBK_CODUNICO00026613932,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201701,IBK_CODUNICO00023048991,S,Light user,01.NUEVOS,02.ACTIVOS
201712,IBK_CODUNICO00026211312,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201702,IBK_CODUNICO00027092544,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201708,IBK_CODUNICO00027592853,S,Digital,01.NUEVOS,02.ACTIVOS
201710,IBK_CODUNICO00027884900,N,Digital,07.ANSIOSO,03.PASIVOS
201705,IBK_CODUNICO00018069356,S,Tradicional,Sin segmento,02.ACTIVOS
201703,IBK_CODUNICO00029354594,S,Digital,01.NUEVOS,02.ACTIVOS
201708,IBK_CODUNICO00028954078,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201710,IBK_CODUNICO00029399059,S,Digital,01.NUEVOS,02.ACTIVOS
201705,IBK_CODUNICO00027461338,S,Tradicional,01.NUEVOS,03.PASIVOS
201709,IBK_CODUNICO00022581783,S,Digital,03.CONSUMIDOR,03.PASIVOS
201709,IBK_CODUNICO00013303575,S,Agente,03.CONSUMIDOR,02.ACTIVOS
201701,IBK_CODUNICO00027864102,S,Digital,07.ANSIOSO,03.PASIVOS
201703,IBK_CODUNICO00025221307,S,Light user,01.NUEVOS,02.ACTIVOS
201709,IBK_CODUNICO00026695371,S,Agente,03.CONSUMIDOR,02.ACTIVOS
201704,IBK_CODUNICO00026925919,S,Sin segmento,Sin segmento,02.ACTIVOS
201703,IBK_CODUNICO00023834647,S,Light user,02.INACTIVOS,03.PASIVOS
201711,IBK_CODUNICO00023908263,S,Agente,08.RETIRO,02.ACTIVOS
201708,IBK_CODUNICO00026731197,N,Tradicional,01.NUEVOS,03.PASIVOS
201704,IBK_CODUNICO00016380442,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201709,IBK_CODUNICO00025366599,S,Sin segmento,Sin segmento,02.ACTIVOS
201703,IBK_CODUNICO00028760413,S,Digital,Sin segmento,02.ACTIVOS
201705,IBK_CODUNICO00027607633,S,Digital,03.CONSUMIDOR,03.PASIVOS
201708,IBK_CODUNICO00028224927,N,Digital,03.CONSUMIDOR,03.PASIVOS
201704,IBK_CODUNICO00027051364,N,Digital,03.CONSUMIDOR,03.PASIVOS
201711,IBK_CODUNICO00028687973,S,Light user,07.ANSIOSO,03.PASIVOS
201704,IBK_CODUNICO00025951628,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201710,IBK_CODUNICO00015463908,S,Digital,01.NUEVOS,03.PASIVOS
201710,IBK_CODUNICO00021405159,S,Light user,01.NUEVOS,02.ACTIVOS
201704,IBK_CODUNICO00017582677,N,Agente,05.TRANSACCIONAL IND,03.PASIVOS
201703,IBK_CODUNICO00025951313,S,Digital,04.AHORRADOR,02.ACTIVOS
201705,IBK_CODUNICO00026939165,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201706,IBK_CODUNICO00017945108,S,Digital,01.NUEVOS,02.ACTIVOS
201712,IBK_CODUNICO00028776897,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201708,IBK_CODUNICO00026901220,S,Sin transacciones,01.NUEVOS,03.PASIVOS
201702,IBK_CODUNICO00029357064,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201711,IBK_CODUNICO00028798340,S,Tradicional,01.NUEVOS,02.ACTIVOS
201708,IBK_CODUNICO00026554332,S,ATM,06.TRANSACCIONAL DEP,02.ACTIVOS
201711,IBK_CODUNICO00028563457,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201705,IBK_CODUNICO00025887692,S,Digital,07.ANSIOSO,02.ACTIVOS
201704,IBK_CODUNICO00027451337,S,Tradicional,02.INACTIVOS,02.ACTIVOS
201708,IBK_CODUNICO00025057662,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201707,IBK_CODUNICO00028995635,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201701,IBK_CODUNICO00025229381,S,Light user,06.TRANSACCIONAL DEP,03.PASIVOS
201710,IBK_CODUNICO00027674794,S,Digital,01.NUEVOS,03.PASIVOS
201707,IBK_CODUNICO00014814489,S,Digital,07.ANSIOSO,03.PASIVOS
201708,IBK_CODUNICO00024998888,S,Light user,08.RETIRO,03.PASIVOS
201702,IBK_CODUNICO00019949904,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201711,IBK_CODUNICO00027327467,S,Tradicional,Sin segmento,02.ACTIVOS
201711,IBK_CODUNICO00028832222,S,Digital,07.ANSIOSO,02.ACTIVOS
201706,IBK_CODUNICO00028883470,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201712,IBK_CODUNICO00023314144,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201706,IBK_CODUNICO00029024150,S,Digital,03.CONSUMIDOR,03.PASIVOS
201707,IBK_CODUNICO00028851131,S,Tradicional,06.TRANSACCIONAL DEP,02.ACTIVOS
201708,IBK_CODUNICO00027854477,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201701,IBK_CODUNICO00027714509,S,Light user,02.INACTIVOS,02.ACTIVOS
201708,IBK_CODUNICO00027884901,S,Agente,01.NUEVOS,03.PASIVOS
201712,IBK_CODUNICO00027896891,S,Tradicional,06.TRANSACCIONAL DEP,03.PASIVOS
201704,IBK_CODUNICO00028847962,N,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201706,IBK_CODUNICO00018098759,S,Tradicional,01.NUEVOS,02.ACTIVOS
201705,IBK_CODUNICO00028372348,S,Sin segmento,Sin segmento,02.ACTIVOS
201712,IBK_CODUNICO00020587486,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201712,IBK_CODUNICO00026703573,S,Agente,08.RETIRO,03.PASIVOS
201706,IBK_CODUNICO00017985663,S,Digital,07.ANSIOSO,02.ACTIVOS
201706,IBK_CODUNICO00026189578,S,Sin segmento,Sin segmento,02.ACTIVOS
201702,IBK_CODUNICO00029141101,S,Light user,05.TRANSACCIONAL IND,03.PASIVOS
201708,IBK_CODUNICO00026152458,S,Digital,01.NUEVOS,02.ACTIVOS
201702,IBK_CODUNICO00027087515,N,Digital,01.NUEVOS,03.PASIVOS
201701,IBK_CODUNICO00028090678,S,Agente,03.CONSUMIDOR,03.PASIVOS
201707,IBK_CODUNICO00025208371,S,Light user,07.ANSIOSO,03.PASIVOS
201708,IBK_CODUNICO00027983075,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201705,IBK_CODUNICO00029039113,S,Light user,07.ANSIOSO,02.ACTIVOS
201703,IBK_CODUNICO00021056616,N,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201708,IBK_CODUNICO00027683568,S,Tradicional,01.NUEVOS,02.ACTIVOS
201702,IBK_CODUNICO00011853059,S,Light user,01.NUEVOS,03.PASIVOS
201705,IBK_CODUNICO00025896426,S,Light user,07.ANSIOSO,03.PASIVOS
201703,IBK_CODUNICO00023768559,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201703,IBK_CODUNICO00025326498,S,Tradicional,08.RETIRO,02.ACTIVOS
201709,IBK_CODUNICO00027175836,S,Digital,03.CONSUMIDOR,03.PASIVOS
201705,IBK_CODUNICO00024578419,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201707,IBK_CODUNICO00023903857,N,Agente,05.TRANSACCIONAL IND,03.PASIVOS
201704,IBK_CODUNICO00026867213,S,ATM,03.CONSUMIDOR,03.PASIVOS
201703,IBK_CODUNICO00023102868,N,Sin transacciones,08.RETIRO,03.PASIVOS
201709,IBK_CODUNICO00026901312,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201708,IBK_CODUNICO00022468007,S,Light user,04.AHORRADOR,03.PASIVOS
201708,IBK_CODUNICO00025108070,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201701,IBK_CODUNICO00024979758,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201710,IBK_CODUNICO00029358223,N,Light user,03.CONSUMIDOR,03.PASIVOS
201708,IBK_CODUNICO00028992777,S,Digital,07.ANSIOSO,02.ACTIVOS
201705,IBK_CODUNICO00022441073,S,Light user,Sin segmento,02.ACTIVOS
201706,IBK_CODUNICO00026876630,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201707,IBK_CODUNICO00022503765,S,Tradicional,07.ANSIOSO,03.PASIVOS
201705,IBK_CODUNICO00025022862,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201711,IBK_CODUNICO00025595661,S,ATM,08.RETIRO,02.ACTIVOS
201702,IBK_CODUNICO00027912455,S,Digital,03.CONSUMIDOR,03.PASIVOS
201706,IBK_CODUNICO00029052747,S,Light user,02.INACTIVOS,03.PASIVOS
201712,IBK_CODUNICO00025823774,N,ATM,03.CONSUMIDOR,03.PASIVOS
201703,IBK_CODUNICO00028489679,S,Agente,08.RETIRO,03.PASIVOS
201701,IBK_CODUNICO00015787435,N,Agente,05.TRANSACCIONAL IND,03.PASIVOS
201703,IBK_CODUNICO00018962656,N,Light user,01.NUEVOS,03.PASIVOS
201704,IBK_CODUNICO00019428267,S,Digital,07.ANSIOSO,02.ACTIVOS
201708,IBK_CODUNICO00027051812,S,Light user,06.TRANSACCIONAL DEP,03.PASIVOS
201701,IBK_CODUNICO00026212425,S,Digital,Sin segmento,02.ACTIVOS
201708,IBK_CODUNICO00025254532,S,Tradicional,Sin segmento,02.ACTIVOS
201709,IBK_CODUNICO00028408151,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201712,IBK_CODUNICO00029052327,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201708,IBK_CODUNICO00023268275,S,Digital,01.NUEVOS,02.ACTIVOS
201705,IBK_CODUNICO00024621851,S,Tradicional,06.TRANSACCIONAL DEP,02.ACTIVOS
201712,IBK_CODUNICO00028642538,S,Light user,06.TRANSACCIONAL DEP,03.PASIVOS
201709,IBK_CODUNICO00029415397,S,ATM,03.CONSUMIDOR,03.PASIVOS
201703,IBK_CODUNICO00023710400,S,Tradicional,Sin segmento,02.ACTIVOS
201711,IBK_CODUNICO00023643299,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201705,IBK_CODUNICO0008647411,S,Agente,01.NUEVOS,03.PASIVOS
201708,IBK_CODUNICO00013981938,S,Agente,04.AHORRADOR,02.ACTIVOS
201706,IBK_CODUNICO00028390875,S,Light user,Sin segmento,02.ACTIVOS
201703,IBK_CODUNICO00026847294,S,Digital,Sin segmento,02.ACTIVOS
201703,IBK_CODUNICO00025444783,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201709,IBK_CODUNICO00026635962,S,Light user,Sin segmento,02.ACTIVOS
201707,IBK_CODUNICO00028639890,S,Tradicional,05.TRANSACCIONAL IND,02.ACTIVOS
201704,IBK_CODUNICO00027003275,S,Digital,01.NUEVOS,03.PASIVOS
201711,IBK_CODUNICO00029182362,S,ATM,06.TRANSACCIONAL DEP,03.PASIVOS
201704,IBK_CODUNICO00028736246,S,Light user,Sin segmento,02.ACTIVOS
201702,IBK_CODUNICO00029282652,S,Agente,05.TRANSACCIONAL IND,03.PASIVOS
201703,IBK_CODUNICO00029380432,S,Tradicional,05.TRANSACCIONAL IND,03.PASIVOS
201711,IBK_CODUNICO00028113401,S,Digital,03.CONSUMIDOR,03.PASIVOS
201704,IBK_CODUNICO00025503094,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201712,IBK_CODUNICO00018992331,S,Digital,04.AHORRADOR,02.ACTIVOS
201704,IBK_CODUNICO00028994177,S,Digital,04.AHORRADOR,03.PASIVOS
201710,IBK_CODUNICO00020399306,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201706,IBK_CODUNICO00028708827,S,Digital,03.CONSUMIDOR,03.PASIVOS
201708,IBK_CODUNICO00025672113,S,Digital,03.CONSUMIDOR,03.PASIVOS
201710,IBK_CODUNICO00028473518,N,Digital,07.ANSIOSO,03.PASIVOS
201702,IBK_CODUNICO00025735132,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201704,IBK_CODUNICO00028882691,S,Digital,01.NUEVOS,02.ACTIVOS
201708,IBK_CODUNICO00025026188,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201702,IBK_CODUNICO00029100866,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201701,IBK_CODUNICO00026896309,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201709,IBK_CODUNICO00026688617,S,ATM,06.TRANSACCIONAL DEP,02.ACTIVOS
201705,IBK_CODUNICO00028690770,S,Sin segmento,Sin segmento,02.ACTIVOS
201708,IBK_CODUNICO00026362899,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201712,IBK_CODUNICO00025845350,S,Digital,05.TRANSACCIONAL IND,02.ACTIVOS
201703,IBK_CODUNICO00028878637,S,Tradicional,Sin segmento,02.ACTIVOS
201712,IBK_CODUNICO00027406644,S,Tradicional,05.TRANSACCIONAL IND,03.PASIVOS
201705,IBK_CODUNICO00023882862,S,Light user,03.CONSUMIDOR,03.PASIVOS
201702,IBK_CODUNICO00028076874,S,Sin segmento,Sin segmento,03.PASIVOS
201704,IBK_CODUNICO00026337384,S,Tradicional,Sin segmento,02.ACTIVOS
201706,IBK_CODUNICO00019625297,S,Tradicional,01.NUEVOS,03.PASIVOS
201711,IBK_CODUNICO00028279995,S,Digital,07.ANSIOSO,03.PASIVOS
201703,IBK_CODUNICO00015443795,S,Digital,Sin segmento,02.ACTIVOS
201707,IBK_CODUNICO00012386421,S,Agente,06.TRANSACCIONAL DEP,02.ACTIVOS
201705,IBK_CODUNICO00026859126,S,Digital,01.NUEVOS,03.PASIVOS
201702,IBK_CODUNICO00024317936,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201704,IBK_CODUNICO00016916215,S,Agente,Sin segmento,03.PASIVOS
201701,IBK_CODUNICO00020840977,S,Agente,06.TRANSACCIONAL DEP,03.PASIVOS
201706,IBK_CODUNICO00020916498,S,Tradicional,07.ANSIOSO,03.PASIVOS
201710,IBK_CODUNICO00025244200,S,Light user,05.TRANSACCIONAL IND,03.PASIVOS
201702,IBK_CODUNICO00024872776,S,Digital,07.ANSIOSO,02.ACTIVOS
201712,IBK_CODUNICO00026696560,S,Tradicional,06.TRANSACCIONAL DEP,02.ACTIVOS
201701,IBK_CODUNICO00029373520,S,Light user,07.ANSIOSO,03.PASIVOS
201710,IBK_CODUNICO00027331568,S,Light user,Sin segmento,02.ACTIVOS
201702,IBK_CODUNICO00024726369,S,Digital,01.NUEVOS,02.ACTIVOS
201702,IBK_CODUNICO00026895892,S,Digital,07.ANSIOSO,03.PASIVOS
201708,IBK_CODUNICO00028788443,S,Tradicional,07.ANSIOSO,02.ACTIVOS
